cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
5.2,c,g,f,f,f,5.75,20.01,n,f,f,d,s
12.39,s,w,t,d,y,6.5,24.92,w,f,f,d,a
2.74,b,n,f,no_data,k,5.66,2.63,w,f,f,d,a
2.15,f,y,f,no_data,n,6.94,2.83,y,f,f,g,a
3.58,s,y,f,f,f,6.3,7.48,y,f,f,d,a
5.36,x,b,f,x,w,6.92,9.32,n,f,f,l,w
2.16,x,b,f,no_data,w,5.64,4.31,w,f,f,d,u
8.5,o,y,f,no_data,y,1.55,16.31,n,f,f,d,w
1.3,s,y,f,f,f,3.24,5.41,y,f,f,d,a
5.82,f,g,f,d,w,5.52,10.14,n,f,f,d,a
9.31,p,n,t,e,p,8.82,18.06,w,t,l,d,a
9.73,f,r,f,no_data,w,10.92,14.92,w,t,p,d,a
1.42,x,n,f,no_data,g,5.17,2.52,w,f,f,g,a
3.49,x,w,f,x,p,8.01,3.75,p,f,f,d,a
9.72,f,l,f,d,y,2.33,15.35,w,f,f,d,w
10.62,f,r,f,x,n,7.23,23.38,n,f,f,d,u
1.8,b,n,f,a,n,4.9,1.36,n,f,f,h,u
3.19,b,p,f,a,y,4.91,5.82,y,f,f,d,u
3.9,x,n,f,a,y,7.45,5.64,n,f,f,d,s
6.71,x,y,t,x,y,7.61,14.84,w,f,f,d,a
3.52,f,o,t,d,y,4.72,7.06,n,f,f,d,u
3.71,f,n,t,d,p,4.56,6.69,g,f,f,d,u
5.85,x,b,f,x,w,7.57,11.08,n,f,f,l,a
10.15,x,n,f,a,n,9.45,14.91,n,f,f,d,a
10.42,s,p,t,d,p,8.43,16.71,p,t,f,d,u
1.52,b,g,f,a,g,5.14,2.04,g,f,f,d,u
3.45,x,e,f,no_data,e,4.47,5.1,e,f,f,d,a
10.42,f,g,t,d,n,4.55,22.03,r,f,f,g,a
2.8,o,k,f,f,f,3.1,14.2,g,f,f,d,u
8.0,f,w,f,s,w,6.75,24.93,w,f,f,m,s
0.58,x,e,f,a,p,3.73,0.89,k,f,f,d,w
2.04,s,n,f,a,p,7.26,4.1,n,f,f,l,u
2.65,f,n,f,d,p,4.93,3.37,n,f,f,h,a
15.28,f,g,f,d,w,8.56,26.17,w,f,f,l,w
2.9,s,w,f,a,p,3.3,2.57,w,f,f,g,u
12.41,x,r,f,x,n,8.0,24.03,w,f,f,d,a
7.09,f,n,f,s,n,9.06,12.51,o,f,f,d,a
2.79,b,n,f,no_data,k,7.28,3.18,w,f,f,d,s
0.75,x,y,f,no_data,y,3.62,0.86,w,f,f,d,u
9.14,f,w,f,s,w,5.96,30.57,w,f,f,m,u
2.22,x,u,f,no_data,u,6.19,4.91,w,f,f,d,u
6.62,s,o,f,d,o,4.84,7.36,y,f,f,d,a
0.76,b,y,f,no_data,k,3.16,2.1,n,t,f,m,a
8.81,x,n,f,e,p,8.12,9.77,n,f,f,d,u
11.6,x,n,f,x,n,7.32,25.53,w,f,f,d,w
5.23,o,n,f,f,f,6.84,21.93,n,f,f,d,s
2.54,x,n,f,no_data,n,5.24,6.05,w,f,f,d,a
5.63,s,e,t,d,p,6.7,6.11,e,f,f,d,u
3.16,f,o,f,d,y,3.54,6.0,o,f,f,h,a
3.06,x,e,f,no_data,e,4.31,4.96,e,f,f,d,a
5.58,s,n,f,d,w,5.1,8.03,w,f,f,d,a
5.38,s,n,t,d,w,4.85,5.86,e,f,f,d,a
8.66,x,w,t,no_data,w,8.76,15.88,w,t,l,g,a
1.64,f,n,f,no_data,g,5.54,2.65,w,f,f,d,s
2.71,b,n,f,no_data,n,9.02,5.06,w,t,no_data,g,w
3.65,s,y,f,f,f,6.38,6.54,o,f,f,d,a
7.38,x,w,t,no_data,p,7.46,13.98,w,t,l,d,u
2.18,f,n,f,no_data,n,7.52,3.04,y,f,f,g,a
3.95,o,w,f,f,f,6.06,30.86,w,t,f,p,a
4.3,f,y,f,x,w,6.43,3.91,w,f,f,d,a
1.62,f,g,f,no_data,k,5.18,2.51,w,f,f,g,w
7.49,f,p,f,s,p,4.4,10.05,p,f,f,d,a
2.13,f,w,f,a,n,2.85,3.41,w,f,f,p,a
6.25,x,n,t,d,w,8.06,10.17,e,f,f,d,a
7.27,x,n,f,a,k,7.77,7.89,n,t,z,g,u
2.13,p,n,f,a,g,7.69,2.68,y,t,e,m,u
10.26,s,w,t,d,o,6.07,16.71,w,f,f,d,a
4.25,x,n,f,x,p,8.81,4.19,n,f,f,l,a
9.95,x,n,f,e,p,4.91,13.23,w,t,r,w,a
10.98,s,o,t,d,o,6.15,18.51,w,f,f,d,u
8.13,x,n,t,p,r,6.48,13.66,e,f,f,d,u
3.22,f,n,f,x,y,4.41,2.78,n,f,f,d,a
2.88,f,n,t,d,y,3.05,5.62,n,f,f,d,a
9.47,x,w,f,x,w,10.92,12.2,w,f,f,d,a
2.35,b,n,f,a,g,5.48,2.31,g,f,f,d,u
5.44,f,u,f,a,w,5.27,8.46,w,f,f,d,u
9.2,f,b,f,no_data,b,4.34,18.21,w,t,f,d,a
3.34,x,n,f,no_data,k,6.5,6.43,w,f,f,d,a
5.96,s,n,f,d,w,5.35,7.89,w,f,f,h,a
6.69,f,n,f,s,w,6.0,10.26,w,f,f,g,a
4.52,x,b,f,x,w,5.32,6.63,w,f,f,d,u
10.49,x,e,f,no_data,w,7.18,22.43,n,t,e,d,a
4.87,b,l,f,s,n,6.45,8.05,n,t,e,m,u
6.9,x,n,t,p,y,6.55,15.1,y,f,f,d,a
14.2,f,g,t,d,w,5.39,26.43,r,f,f,d,a
8.6,s,g,t,d,w,4.55,13.94,g,f,f,d,u
8.12,f,y,f,a,w,7.08,15.59,g,f,f,d,w
5.82,s,n,t,d,w,5.64,8.38,n,f,f,d,a
2.28,b,n,f,a,g,5.03,2.09,n,f,f,d,a
3.41,x,w,f,x,p,8.16,3.86,p,f,f,l,a
2.82,f,b,f,x,w,4.28,2.77,n,f,f,d,a
0.65,x,y,f,no_data,y,3.46,0.71,y,f,f,d,a
6.18,p,n,f,e,w,7.98,14.28,w,t,p,d,u
8.56,f,y,f,x,y,4.68,15.19,y,f,f,d,a
6.32,x,g,f,a,n,5.8,5.42,g,t,l,d,u
6.3,x,n,f,s,g,5.45,7.1,n,f,f,d,w
3.86,f,n,f,no_data,n,5.62,6.37,w,f,f,d,a
3.03,x,e,f,no_data,e,4.39,5.82,e,f,f,d,a
10.82,s,r,f,x,n,6.81,20.25,n,f,f,d,w
9.15,x,g,t,x,n,9.03,19.52,u,f,f,d,a
3.9,x,o,f,p,n,5.31,11.42,n,f,f,d,u
9.29,x,w,f,s,y,6.88,16.26,n,f,f,d,a
5.81,c,g,f,f,f,5.76,20.63,n,f,f,d,s
12.27,f,w,t,e,n,8.5,17.9,w,t,l,m,a
4.55,b,g,f,a,g,5.26,3.13,n,f,f,d,a
1.31,x,n,f,no_data,n,4.68,2.37,n,f,f,g,u
11.67,f,n,f,no_data,w,6.93,26.49,n,t,e,d,w
1.92,b,g,f,a,g,4.91,1.94,n,f,f,d,a
1.51,b,n,f,a,n,4.39,1.41,n,f,f,h,a
7.33,f,n,f,e,p,5.1,13.07,w,t,l,w,a
2.42,x,u,f,no_data,w,6.82,5.18,w,f,f,d,u
5.1,c,y,t,x,r,8.03,13.04,w,f,f,d,s
8.11,x,g,f,a,w,9.04,16.68,g,f,f,d,u
5.85,o,g,f,f,f,4.81,20.17,n,f,f,d,s
2.35,x,u,f,no_data,u,6.17,4.7,w,f,f,d,u
1.24,x,y,f,f,f,3.06,5.5,y,f,f,d,u
4.66,x,n,f,p,n,5.12,10.99,e,f,f,d,u
8.73,x,n,t,p,y,8.45,18.6,n,t,p,d,a
10.48,x,n,f,x,w,9.9,11.16,w,f,f,h,a
12.78,s,k,t,d,n,5.3,24.7,n,f,f,d,u
3.4,x,w,f,d,w,3.78,6.04,w,f,f,m,w
2.67,f,n,t,d,p,3.67,4.86,g,f,f,d,u
6.65,s,n,f,d,w,5.67,9.22,w,f,f,h,u
0.85,x,p,f,a,p,4.4,0.97,k,f,f,d,u
0.96,b,w,f,no_data,g,2.9,1.43,w,f,f,d,w
0.7,x,o,f,no_data,y,3.7,0.79,w,f,f,d,u
3.54,b,w,f,x,w,4.67,3.41,y,f,f,g,u
2.88,x,y,f,a,o,3.96,8.81,w,f,f,d,a
1.41,b,g,f,a,g,4.97,2.0,g,f,f,d,u
10.42,x,n,t,p,y,7.72,21.71,n,f,f,d,a
11.34,x,y,f,no_data,w,6.8,25.09,n,t,e,d,w
7.66,x,p,f,s,p,3.57,9.19,p,f,f,d,a
3.52,o,r,f,f,f,0.0,0.0,f,t,f,d,a
3.86,o,y,f,f,f,0.0,0.0,f,t,f,d,u
4.31,f,n,f,e,p,3.91,11.47,w,t,r,w,u
0.84,b,y,f,no_data,k,3.38,2.65,n,t,f,m,u
8.59,p,n,f,e,w,9.15,17.34,w,t,p,d,a
3.4,f,o,f,a,w,4.34,4.42,o,f,f,d,a
7.47,x,e,f,x,w,5.79,16.34,w,f,f,d,a
3.1,x,o,f,a,e,4.5,6.15,o,f,f,m,u
10.72,x,n,f,e,p,8.35,10.52,n,f,f,d,u
3.11,o,g,f,f,f,0.0,0.0,f,f,f,d,s
3.97,o,w,f,f,f,5.79,31.64,w,t,f,p,u
6.82,x,k,f,a,w,3.86,11.05,w,f,f,d,a
5.19,f,b,f,d,b,5.28,11.83,w,f,f,d,w
1.61,x,y,f,d,n,2.46,2.79,n,f,f,d,a
6.71,b,k,f,s,w,4.98,9.42,g,f,f,d,a
9.11,s,g,t,d,n,4.58,22.87,n,f,f,d,u
7.99,s,y,f,a,w,6.57,17.97,w,f,f,d,a
3.13,b,n,f,no_data,g,5.87,4.64,w,f,f,d,u
8.98,x,n,t,e,p,8.78,17.21,w,t,l,l,a
12.79,f,g,f,e,w,11.0,15.78,w,t,e,d,u
3.34,s,g,f,d,w,3.38,7.85,w,f,f,g,a
1.7,b,n,f,a,g,4.98,2.0,g,f,f,d,a
0.83,f,o,f,d,o,4.96,1.05,y,f,f,g,a
6.27,x,y,t,p,y,8.36,16.58,y,f,f,d,u
8.83,s,n,t,d,w,7.47,10.38,n,f,f,d,a
6.6,x,y,f,a,y,9.79,10.44,n,t,no_data,d,a
11.73,f,n,t,d,w,5.24,23.79,r,f,f,d,u
5.81,s,n,f,d,w,5.9,7.94,w,f,f,h,u
3.64,s,n,t,d,n,4.07,7.25,n,f,f,d,a
4.27,f,y,f,x,y,5.27,4.51,n,f,f,d,u
6.02,b,g,f,s,g,6.06,10.18,g,f,f,d,u
0.81,x,o,f,d,o,5.02,1.07,o,f,f,g,a
3.65,x,w,f,x,n,8.22,9.74,w,t,no_data,d,s
6.25,x,n,f,e,p,5.58,10.14,n,f,f,d,u
5.78,f,n,f,s,w,5.68,9.92,w,f,f,g,a
10.06,x,y,f,no_data,w,6.84,25.21,n,t,e,d,a
3.28,s,w,f,a,p,3.6,2.56,w,f,f,g,u
4.19,x,n,f,s,n,5.88,8.53,w,t,z,d,a
3.64,x,y,f,a,y,5.82,6.76,o,f,f,g,u
3.34,x,y,f,no_data,k,7.23,6.75,y,t,z,d,w
6.93,f,r,f,x,n,7.19,12.35,w,f,f,d,u
11.07,f,b,f,no_data,b,5.22,21.16,w,t,f,d,a
8.84,x,n,f,d,w,9.55,13.98,n,t,no_data,d,a
6.73,x,y,f,e,w,6.33,13.14,w,t,g,d,u
6.3,x,n,f,e,w,12.14,11.48,w,f,f,d,u
5.13,f,y,f,x,e,6.73,5.32,y,f,f,d,a
14.55,f,l,f,d,w,2.6,16.64,w,f,f,d,a
5.95,x,y,f,x,y,3.81,12.98,y,f,f,d,a
8.62,x,n,t,p,y,7.03,17.45,n,t,p,d,u
12.69,x,y,f,a,w,11.41,18.26,n,t,no_data,d,a
5.77,f,y,f,f,f,4.77,13.83,y,f,f,d,u
9.48,f,l,f,s,b,7.28,20.91,u,f,f,l,a
3.98,x,n,f,s,p,3.84,3.07,n,f,f,g,u
5.81,f,n,f,s,p,5.03,16.84,u,f,f,g,a
8.55,x,n,t,p,y,8.36,18.37,n,t,p,d,a
7.72,x,y,t,p,r,5.5,12.2,e,f,f,d,u
7.23,x,n,t,p,n,5.68,16.18,n,t,p,d,a
3.67,f,b,f,x,w,4.68,2.89,n,f,f,d,a
1.37,x,n,f,no_data,n,3.88,1.56,n,f,f,d,w
6.08,s,e,t,d,w,6.93,6.66,n,f,f,d,u
3.18,o,g,f,f,f,0.0,0.0,f,f,f,d,a
5.69,f,n,f,a,y,5.56,6.19,y,t,no_data,d,a
6.32,x,n,f,p,y,6.29,12.16,n,f,f,g,u
13.59,s,n,f,d,y,4.52,31.48,n,f,f,d,u
4.77,x,n,f,e,n,4.63,12.39,w,t,r,w,a
3.28,f,w,f,s,p,4.09,3.03,n,f,f,g,u
10.69,f,r,t,d,n,5.1,14.23,n,f,f,d,a
6.64,x,w,f,e,w,5.88,11.95,y,t,g,d,a
3.4,x,e,f,no_data,e,4.39,5.67,e,f,f,d,a
7.53,x,n,f,a,n,6.51,7.53,n,t,no_data,d,a
1.54,b,n,f,no_data,n,4.28,2.41,n,f,f,d,a
3.47,x,n,f,s,n,5.91,8.45,w,t,z,d,u
4.13,o,w,f,f,f,5.14,30.58,w,t,f,p,a
9.09,o,n,f,no_data,w,3.9,23.12,n,f,f,d,a
0.56,x,y,f,no_data,y,3.35,0.67,y,f,f,d,a
2.37,b,n,f,no_data,n,6.45,2.74,w,f,f,d,s
4.57,f,g,f,s,w,4.28,7.07,w,f,f,d,u
1.1,f,y,f,f,f,2.78,4.9,y,f,f,d,u
6.42,s,y,f,a,w,5.63,14.07,w,f,f,d,a
1.17,x,y,f,f,f,3.69,5.84,y,f,f,d,a
5.94,c,n,f,f,f,5.85,21.17,n,f,f,d,s
5.44,c,y,f,no_data,n,7.28,8.04,w,f,f,d,a
10.83,x,n,f,p,p,10.47,30.95,n,f,f,d,a
4.6,c,w,t,x,r,6.05,13.33,w,f,f,g,s
1.92,f,l,f,a,p,3.76,2.38,w,f,f,g,a
3.21,f,g,f,d,w,3.31,8.59,w,f,f,g,u
3.79,x,o,f,a,n,4.81,6.05,o,t,z,d,a
5.89,s,o,f,d,o,3.05,6.64,o,f,f,h,u
5.17,x,o,f,a,y,6.68,8.62,o,f,f,g,u
8.34,x,n,f,p,y,8.78,13.54,n,f,f,h,a
1.41,x,n,f,no_data,n,3.35,1.27,n,f,f,d,a
7.79,x,n,f,a,n,9.65,11.86,n,f,f,h,a
1.87,x,n,f,no_data,n,5.64,2.75,n,f,f,g,a
9.13,s,w,f,d,p,3.85,10.19,w,f,f,d,a
4.47,c,y,f,no_data,n,5.85,6.05,w,f,f,d,a
4.55,f,y,f,p,n,3.22,4.45,n,t,f,d,u
7.18,p,n,f,e,w,7.46,15.77,w,t,p,d,u
5.1,x,e,f,no_data,r,3.28,11.57,y,f,f,d,a
0.76,f,o,f,d,o,5.43,1.16,y,f,f,g,a
7.74,s,y,t,d,o,5.88,12.95,w,t,f,d,u
5.7,f,y,f,s,y,4.76,11.35,y,f,f,d,a
3.66,b,n,f,x,w,4.84,3.23,y,f,f,g,a
2.72,f,k,f,a,p,4.6,2.82,w,f,f,g,a
8.3,s,w,f,d,p,3.5,9.77,w,f,f,d,a
0.88,p,g,f,no_data,g,2.6,1.46,w,f,f,d,u
7.24,f,n,f,x,w,6.9,10.15,n,f,f,l,a
5.71,o,r,f,no_data,o,1.48,14.46,n,f,f,d,w
9.17,f,n,t,no_data,w,9.99,16.8,w,t,g,d,u
6.98,f,n,f,x,y,5.13,13.59,y,f,f,d,a
1.78,f,y,f,no_data,n,7.04,2.69,y,f,f,g,u
6.01,x,y,t,p,y,4.78,11.16,e,f,f,d,a
7.91,x,n,f,p,w,11.34,31.9,n,f,f,d,u
8.73,x,n,f,e,p,5.1,13.35,w,t,l,w,a
6.63,x,b,f,x,w,6.85,10.73,n,f,f,l,w
12.88,f,y,f,x,n,8.32,23.01,n,f,f,d,w
7.69,x,p,f,s,p,3.34,8.4,p,f,f,d,w
3.55,f,n,f,d,o,5.7,7.15,o,f,f,d,a
5.82,x,y,f,a,y,6.94,8.77,y,t,no_data,d,a
2.65,s,n,f,f,f,5.77,6.94,o,f,f,d,a
5.6,x,n,f,e,p,5.3,9.36,n,f,f,d,u
5.75,f,y,f,p,n,3.37,5.35,n,t,f,d,u
0.96,b,w,f,no_data,g,3.16,1.6,w,f,f,d,a
16.0,s,n,f,d,w,9.5,25.27,w,f,f,l,w
7.33,s,r,t,d,w,4.33,12.19,n,f,f,d,u
5.05,b,g,f,s,g,3.71,9.33,g,f,f,d,u
4.62,x,y,f,a,y,5.62,7.01,o,f,f,g,u
7.24,x,y,t,x,y,7.29,16.86,w,f,f,d,u
7.57,f,n,f,s,w,6.18,9.28,n,f,f,l,u
6.04,s,n,f,p,n,4.32,6.44,n,t,f,d,u
9.93,s,y,f,x,n,6.89,22.54,n,f,f,d,u
3.34,x,p,f,a,o,4.5,6.18,e,f,f,m,a
9.31,x,o,f,a,o,12.05,23.43,o,t,r,d,u
2.56,x,e,f,a,p,6.88,2.48,n,f,f,d,a
7.23,s,y,f,d,y,3.89,6.39,o,f,f,h,a
2.8,f,o,f,d,y,3.06,5.9,o,f,f,h,a
1.39,x,n,f,no_data,n,3.66,1.62,n,f,f,d,u
7.06,x,e,f,x,w,6.33,17.25,w,f,f,d,u
8.66,f,u,f,a,w,5.14,18.48,w,f,f,d,u
4.25,f,w,f,d,w,4.35,7.53,w,f,f,m,a
11.37,s,w,t,d,p,5.13,25.21,w,f,f,d,a
10.11,x,u,f,x,n,7.72,23.25,p,f,f,d,u
4.78,x,w,f,d,r,5.55,6.44,w,f,f,d,u
10.44,x,n,f,d,w,9.14,14.62,n,t,no_data,d,a
3.6,f,n,f,d,o,5.68,7.16,w,f,f,d,w
8.87,s,p,t,d,p,7.09,17.53,p,t,f,d,a
6.87,o,o,f,no_data,y,1.77,16.5,n,f,f,d,w
5.76,s,e,t,d,p,6.1,6.9,e,f,f,d,a
3.4,x,e,f,a,e,3.41,6.35,o,f,f,m,w
6.54,x,n,f,e,p,4.62,9.13,n,f,f,d,a
3.51,x,y,f,f,f,3.33,8.33,y,f,f,d,u
3.9,x,y,f,a,y,5.47,9.88,w,f,f,d,u
4.92,c,y,f,no_data,r,6.72,7.62,w,f,f,d,a
3.13,x,n,f,s,p,5.77,8.94,w,t,z,d,u
2.56,b,k,f,a,k,9.38,2.43,n,f,f,g,u
4.41,x,n,f,a,w,4.47,4.67,n,f,f,d,a
8.45,f,u,f,a,w,3.96,14.15,w,f,f,d,u
0.8,b,y,f,no_data,k,2.82,2.47,n,t,f,m,u
6.78,f,y,f,s,y,5.78,17.06,e,f,f,d,a
3.05,x,b,f,no_data,w,6.03,4.07,w,f,f,d,w
4.3,x,y,f,x,n,6.92,4.06,w,f,f,d,a
0.65,x,p,f,a,p,3.55,0.94,k,f,f,d,u
3.11,o,w,f,f,f,5.68,31.33,w,t,f,p,a
11.07,x,n,f,a,w,8.95,26.44,w,f,f,d,a
5.17,x,y,f,p,y,6.76,13.3,y,t,no_data,d,a
7.25,x,y,f,f,f,6.96,14.98,y,f,f,d,u
12.21,s,w,t,d,y,5.67,24.9,w,f,f,d,u
7.94,f,e,f,x,w,6.85,18.46,w,f,f,d,u
9.34,x,w,f,s,w,6.89,28.68,w,f,f,d,s
5.84,x,n,f,s,y,4.66,6.85,w,f,f,d,u
7.92,s,n,t,d,y,5.95,8.81,e,f,f,d,a
11.45,x,y,t,p,o,7.57,26.65,u,f,f,d,u
12.16,x,y,t,p,o,10.54,32.91,e,f,f,d,u
7.54,f,b,f,no_data,b,5.11,20.3,w,t,f,d,a
3.45,f,y,f,x,n,6.25,4.31,w,f,f,d,u
8.04,s,p,t,d,o,6.0,17.52,w,f,f,d,u
3.93,b,n,f,x,p,5.58,4.27,g,f,f,d,u
2.84,x,w,f,a,p,3.86,2.59,w,f,f,g,u
2.2,p,n,f,a,g,6.37,2.41,y,t,e,m,u
1.14,x,b,f,no_data,u,5.16,3.59,w,f,f,d,w
4.94,x,y,f,a,y,4.52,9.65,w,f,f,d,a
8.69,x,n,t,p,y,7.73,18.23,n,t,p,d,a
1.38,x,n,f,no_data,k,4.48,2.41,w,f,f,g,u
6.49,x,n,f,e,p,5.43,9.46,n,f,f,d,a
4.19,x,n,f,a,n,4.95,6.56,n,t,z,d,a
7.05,x,n,f,s,n,5.32,7.41,n,f,f,d,w
6.0,x,g,t,p,g,10.48,23.27,w,f,f,d,a
11.72,x,r,f,x,n,7.2,24.01,n,f,f,d,a
4.19,x,n,f,x,n,7.63,7.87,n,t,no_data,d,s
10.67,x,w,f,s,y,7.44,17.22,n,f,f,d,u
6.44,f,n,f,s,w,6.52,9.34,w,f,f,m,u
3.9,f,n,f,d,o,6.35,8.64,o,f,f,d,a
4.26,s,u,f,a,u,6.29,6.51,u,f,f,l,a
10.17,x,y,f,x,w,9.2,25.71,w,f,f,d,u
13.49,p,n,t,e,n,10.57,18.04,w,t,l,m,a
6.95,x,n,f,a,w,10.37,28.07,w,f,f,d,u
4.01,f,u,f,a,g,5.61,5.06,u,f,f,d,u
6.34,x,y,f,a,n,7.94,7.63,n,t,z,d,a
11.87,f,b,f,d,w,2.61,16.22,w,f,f,d,a
12.14,f,n,t,d,n,6.46,16.28,n,f,f,d,u
7.0,x,n,f,s,g,4.64,7.76,n,f,f,d,a
5.98,x,w,f,no_data,g,3.84,12.24,y,f,f,d,a
2.65,b,k,f,a,n,9.49,2.55,g,f,f,g,u
3.92,x,r,f,s,u,6.16,7.66,n,t,e,g,a
9.74,x,n,f,a,n,9.44,18.01,n,f,f,d,a
5.78,f,n,f,e,p,4.4,11.66,w,t,l,w,a
6.4,f,b,f,d,o,5.65,11.99,w,f,f,d,w
1.51,f,k,f,a,p,2.63,2.18,w,f,f,g,a
5.72,s,o,f,d,o,3.11,5.92,y,f,f,h,a
4.07,o,y,f,f,f,0.0,0.0,f,t,f,d,s
5.93,f,b,f,x,w,7.17,10.31,n,f,f,l,a
7.04,x,y,f,p,y,7.46,14.27,y,t,no_data,d,u
5.01,c,y,t,x,r,6.53,11.65,w,f,f,d,s
3.46,o,w,f,no_data,w,0.0,0.0,f,f,f,d,u
