cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
11.74,f,b,f,no_data,b,5.58,22.05,w,t,f,d,a
3.95,f,y,f,x,e,5.8,5.11,n,f,f,d,u
3.78,f,n,f,x,p,5.72,4.07,g,f,f,d,a
6.1,x,y,f,a,w,5.76,15.0,w,f,f,d,w
0.64,x,y,f,no_data,y,3.63,0.77,w,f,f,d,u
4.47,s,b,f,d,o,6.05,11.8,w,f,f,m,w
4.03,b,n,f,x,p,5.89,4.43,g,f,f,d,a
12.19,x,n,t,p,o,10.41,31.88,e,f,f,d,u
4.18,s,u,f,a,g,6.35,6.51,u,f,f,l,a
3.29,s,n,f,f,f,6.55,6.31,o,f,f,d,a
5.73,f,e,t,d,y,4.98,9.42,e,f,f,d,a
8.0,x,n,t,x,n,9.21,19.44,u,f,f,d,a
4.78,x,l,f,d,r,7.59,7.65,r,f,f,l,u
3.99,f,n,f,x,n,5.65,4.66,y,f,f,d,a
8.27,s,g,f,s,u,6.0,16.83,b,f,f,l,w
3.04,s,n,f,f,f,6.5,6.67,y,f,f,d,a
3.51,x,n,f,s,n,5.68,8.4,w,t,z,d,u
8.67,s,p,t,d,p,7.19,11.97,p,t,f,d,u
0.73,x,e,f,a,n,4.24,1.08,k,f,f,d,w
3.67,f,g,f,d,w,2.99,6.38,w,f,f,g,u
9.26,f,y,f,no_data,w,7.64,27.16,n,t,e,d,a
11.48,f,y,f,x,n,6.76,23.08,p,f,f,d,w
0.76,x,p,f,a,p,4.04,1.02,k,f,f,d,w
3.28,x,w,f,d,w,4.0,6.79,w,f,f,g,a
8.54,s,p,t,d,p,6.97,12.82,p,t,f,d,a
11.35,x,n,f,e,p,7.06,9.9,n,f,f,d,w
3.49,s,u,f,a,u,5.76,5.54,u,f,f,l,u
10.08,x,n,f,e,w,7.64,10.82,w,f,f,d,w
7.77,s,o,t,d,o,4.63,12.5,w,t,f,d,u
2.46,b,p,f,a,y,5.02,5.7,y,f,f,g,u
1.31,x,y,f,d,n,1.84,2.51,n,f,f,d,u
3.62,b,r,f,a,y,4.86,5.99,y,f,f,d,a
7.21,x,n,t,p,y,6.83,12.98,y,f,f,d,u
4.33,f,e,f,x,n,6.24,5.2,y,f,f,d,u
3.68,x,n,f,x,p,7.43,3.95,p,f,f,l,a
4.14,x,y,f,a,w,4.96,3.29,y,t,r,g,u
4.97,b,e,f,e,k,7.54,7.94,k,f,f,m,u
3.01,b,n,f,no_data,w,6.7,4.64,w,f,f,d,a
4.79,x,b,f,x,w,6.4,9.2,n,f,f,l,w
0.55,x,o,f,no_data,y,3.27,0.75,y,f,f,d,a
2.56,f,o,t,d,n,3.18,5.87,n,f,f,d,u
1.72,x,n,f,no_data,n,4.88,2.53,n,f,f,g,a
2.47,b,n,f,no_data,k,6.61,3.03,w,f,f,d,s
6.21,x,e,f,a,y,8.69,11.19,e,t,z,d,a
6.13,s,e,t,d,w,5.33,9.21,n,f,f,d,a
5.34,x,y,f,p,y,5.53,12.38,y,t,no_data,d,u
4.62,x,l,f,d,r,6.47,7.47,l,f,f,d,u
7.13,f,u,f,a,w,3.56,13.53,w,f,f,d,u
7.66,f,e,t,d,y,7.27,9.86,e,f,f,d,a
3.94,x,n,f,p,y,4.92,10.06,n,f,f,d,a
9.94,f,e,f,s,y,8.89,24.67,e,f,f,d,a
1.32,x,n,f,no_data,n,3.92,1.49,n,f,f,d,s
7.19,f,n,f,s,w,6.79,10.51,n,f,f,l,a
6.37,s,n,f,d,w,5.69,8.31,w,f,f,h,u
9.38,p,n,f,p,w,8.7,23.49,n,f,f,d,u
1.21,s,y,f,f,f,3.85,5.61,y,f,f,d,a
3.8,f,y,f,x,y,5.37,5.01,n,f,f,d,a
7.35,x,e,f,x,w,6.53,17.85,w,f,f,d,a
12.69,f,b,f,d,w,2.52,13.9,w,f,f,d,a
3.88,f,w,f,e,w,4.14,3.29,w,t,e,d,a
4.79,x,o,f,a,y,6.12,5.4,o,f,f,d,s
8.53,x,n,f,a,n,11.18,16.8,n,f,f,d,a
7.61,x,n,t,p,y,4.96,10.83,y,f,f,d,a
8.75,p,g,f,a,w,8.25,14.98,w,f,f,g,u
5.77,b,k,f,s,g,6.15,11.08,g,f,f,d,a
4.98,b,o,f,e,g,6.32,7.66,k,f,f,m,u
7.71,x,w,t,no_data,n,9.24,16.2,w,t,l,g,u
6.66,x,n,f,s,p,7.31,16.11,n,f,f,d,u
13.57,f,n,f,e,w,10.76,15.08,w,t,g,d,a
4.09,x,o,f,a,y,9.54,7.84,o,f,f,d,w
4.02,b,n,f,a,g,6.27,3.7,g,f,f,d,s
8.95,s,p,t,d,p,7.96,13.27,p,t,f,d,a
4.68,o,r,f,f,f,0.0,0.0,f,t,f,d,a
3.79,s,u,f,a,w,4.2,6.47,w,f,f,d,u
3.24,x,n,f,p,n,4.34,9.62,y,f,f,d,a
6.26,x,n,f,e,w,5.16,10.52,n,f,f,d,u
6.51,f,n,f,s,w,5.43,8.52,w,f,f,d,a
3.38,x,p,f,a,o,4.9,6.59,e,f,f,g,w
10.64,x,y,f,s,y,5.84,16.91,n,f,f,d,u
4.72,c,y,t,x,r,5.21,12.38,w,f,f,g,a
8.92,x,w,t,no_data,p,8.32,15.87,w,t,l,g,u
6.51,f,e,t,d,y,5.58,7.95,n,f,f,d,u
13.24,f,g,f,e,w,11.22,16.26,w,t,g,d,u
8.65,f,p,f,x,w,8.5,22.14,w,f,f,d,u
13.27,s,n,f,a,w,6.81,24.71,w,f,f,l,w
12.55,s,l,f,s,u,7.76,20.29,b,f,f,d,a
4.23,c,w,t,x,p,6.14,11.32,w,f,f,g,s
9.62,s,y,t,d,o,5.79,13.13,w,t,f,d,a
11.2,x,n,t,p,y,9.36,23.63,n,f,f,d,a
2.4,x,e,f,a,p,6.64,2.31,w,f,f,d,a
2.83,x,y,f,a,o,3.24,7.57,w,f,f,d,u
11.98,p,n,f,p,p,10.41,30.6,n,f,f,d,u
5.89,b,g,f,no_data,w,7.89,11.89,w,t,z,d,u
6.28,b,g,f,no_data,k,9.06,12.29,w,t,z,d,w
7.8,s,o,t,d,o,4.34,11.32,w,t,f,d,u
6.99,s,y,f,f,f,5.09,13.54,y,f,f,d,u
4.04,x,n,f,d,o,5.81,6.68,o,f,f,d,w
6.7,x,n,t,x,u,8.48,19.69,g,f,f,d,a
2.56,f,l,f,a,p,5.06,2.68,w,f,f,g,a
5.59,c,g,f,f,f,6.42,20.79,n,f,f,l,s
4.9,x,r,f,d,r,5.36,7.66,l,f,f,l,u
0.62,x,y,f,no_data,y,3.44,0.63,y,f,f,d,a
5.24,f,n,f,a,y,6.57,5.71,o,f,f,d,a
0.8,f,o,f,d,o,4.58,1.08,o,f,f,g,u
5.46,x,n,f,x,n,4.61,5.04,n,t,r,d,a
4.66,x,p,f,no_data,g,3.8,12.79,y,f,f,d,a
9.39,f,u,f,a,w,4.98,16.62,w,f,f,d,u
2.45,f,l,f,a,w,3.86,2.62,w,f,f,g,a
6.8,f,p,f,s,p,4.79,9.89,p,f,f,d,w
6.39,x,w,t,no_data,g,7.27,10.38,w,t,l,g,u
4.35,f,b,f,d,o,5.51,12.68,w,f,f,m,a
7.65,f,e,f,x,w,6.11,14.46,w,f,f,d,a
7.2,x,e,t,p,r,5.49,13.11,y,f,f,d,u
2.2,p,n,f,a,n,6.93,2.44,y,t,e,m,u
3.86,b,n,f,no_data,k,9.37,6.31,w,t,no_data,g,u
0.8,x,y,f,no_data,y,3.45,0.74,y,f,f,d,u
4.12,f,w,f,d,w,4.01,6.96,w,f,f,g,a
5.73,x,w,f,e,w,6.42,13.51,w,t,g,d,u
5.72,x,w,f,d,w,3.42,10.02,w,f,f,g,u
2.0,b,n,f,a,g,5.2,1.83,n,f,f,d,a
3.9,b,n,f,x,p,5.39,4.22,g,f,f,d,a
7.19,f,o,f,s,n,7.82,12.1,n,f,f,d,a
4.43,x,o,f,p,n,4.7,10.18,e,f,f,d,a
2.8,x,e,f,a,w,7.55,2.6,n,f,f,d,a
5.86,x,g,t,s,w,5.05,13.16,n,f,f,d,u
13.06,f,l,f,d,y,2.41,13.87,w,f,f,d,w
4.49,x,r,f,s,u,6.65,7.73,w,t,e,d,a
7.45,x,n,f,a,k,8.71,8.73,n,t,z,g,a
1.28,x,n,f,no_data,n,3.96,1.56,n,f,f,d,s
10.4,x,n,f,a,n,10.59,14.31,n,f,f,d,a
1.28,x,n,f,d,w,5.32,1.8,y,f,f,d,a
7.88,x,e,t,p,r,6.37,13.21,y,f,f,d,u
5.76,x,k,f,e,g,8.2,8.86,o,f,f,m,a
6.36,f,n,f,e,n,4.31,12.61,w,t,r,w,a
9.17,f,b,f,no_data,b,4.58,19.63,w,t,f,d,a
3.86,x,n,f,no_data,n,7.01,7.13,w,f,f,d,u
4.05,x,y,f,x,n,5.74,3.35,w,f,f,d,u
5.1,x,b,f,x,w,6.32,8.27,w,f,f,d,a
6.42,f,k,f,s,g,4.92,10.21,g,f,f,d,u
8.56,x,p,f,s,p,5.33,10.21,p,f,f,d,a
0.85,x,y,f,no_data,y,3.87,0.86,w,f,f,d,u
3.41,f,y,f,a,r,4.65,5.92,y,f,f,g,a
3.21,b,n,f,no_data,n,5.92,2.53,w,f,f,d,w
3.32,s,y,f,f,f,6.66,6.62,o,f,f,d,a
1.13,c,n,f,a,g,4.73,1.29,g,f,f,d,a
9.04,s,r,t,d,o,6.29,13.26,w,t,f,d,u
3.92,f,n,f,d,o,6.09,8.63,w,f,f,d,w
11.79,f,b,f,no_data,b,5.27,20.95,w,t,f,d,a
3.79,x,w,f,x,g,6.16,3.7,w,f,f,d,u
6.98,f,p,f,x,w,7.7,17.43,w,f,f,d,a
8.08,x,n,f,a,n,11.24,15.3,n,f,f,h,a
6.15,x,n,f,a,n,9.61,11.76,y,t,no_data,d,a
7.11,f,n,f,x,w,7.06,10.52,n,f,f,l,w
3.56,x,n,f,s,n,6.14,9.14,w,t,z,d,u
2.45,f,n,t,d,n,3.3,6.17,n,f,f,d,u
7.39,p,n,f,e,w,7.83,17.28,w,t,p,d,u
7.88,x,n,f,a,n,7.87,8.61,n,t,z,d,a
5.51,s,y,f,f,f,5.49,13.6,y,f,f,d,a
4.64,x,y,f,s,y,4.59,12.88,y,f,f,d,a
3.92,f,n,f,x,p,5.24,4.33,g,f,f,d,u
4.82,c,y,f,no_data,r,5.89,6.55,w,f,f,d,u
1.2,s,y,f,f,f,2.88,5.62,y,f,f,d,u
7.75,x,n,f,e,w,8.15,16.26,w,t,p,d,u
4.85,f,e,f,x,w,6.04,7.18,w,f,f,d,a
3.91,x,w,f,x,p,8.15,4.04,n,f,f,l,a
2.88,b,y,f,a,r,5.09,5.95,r,f,f,d,a
2.09,b,w,f,e,w,3.05,3.09,w,t,e,m,a
5.91,c,n,f,f,f,6.3,19.6,n,f,f,l,s
3.59,x,y,f,a,y,3.56,8.19,w,f,f,d,u
8.71,s,g,t,d,g,4.83,13.51,n,f,f,d,a
6.87,p,n,f,no_data,k,12.06,13.41,w,t,z,g,w
4.15,x,o,f,p,n,5.59,10.48,e,f,f,d,u
5.16,f,n,f,a,y,5.5,6.23,n,t,no_data,d,u
1.92,b,g,f,a,g,4.99,1.97,n,f,f,d,a
5.62,x,e,f,no_data,r,3.23,13.02,y,f,f,d,a
4.09,x,o,f,a,n,4.38,5.93,o,t,z,d,a
10.05,x,n,t,e,p,8.98,18.08,w,t,l,d,a
2.62,x,b,f,no_data,w,5.92,3.97,w,f,f,d,w
2.6,f,u,t,d,p,4.09,5.5,g,f,f,d,u
2.55,x,n,f,a,w,5.85,2.46,n,f,f,d,a
3.91,f,y,f,p,n,2.38,4.45,n,t,f,d,u
1.9,b,n,f,a,g,4.99,1.9,n,f,f,d,u
9.7,s,g,f,s,g,6.96,19.27,u,f,f,g,a
10.76,x,n,f,e,w,10.84,14.69,w,t,e,d,a
3.75,b,n,f,no_data,u,5.83,4.58,w,f,f,d,a
1.27,x,n,f,d,n,2.13,2.56,n,f,f,d,u
3.12,s,w,f,d,w,3.09,2.59,w,f,f,g,u
12.1,s,w,t,d,w,6.02,26.96,w,f,f,d,a
9.98,s,p,t,d,p,8.53,15.87,p,t,f,d,u
6.76,x,y,f,a,w,6.71,14.87,w,f,f,d,u
9.45,x,n,f,s,n,6.22,8.36,n,f,f,d,w
6.24,c,g,f,f,f,6.4,19.31,n,f,f,d,s
12.8,s,n,f,s,u,8.68,21.81,u,f,f,l,a
15.99,f,w,f,a,k,6.35,21.16,w,f,f,d,w
2.98,x,w,f,x,p,7.24,3.85,p,f,f,l,a
6.31,s,b,f,d,b,5.46,12.82,w,f,f,d,w
3.88,f,u,t,d,p,4.72,6.55,n,f,f,d,u
8.17,s,g,t,d,g,4.64,13.19,n,f,f,d,u
10.23,f,b,f,no_data,b,5.29,22.42,w,t,f,d,a
6.64,f,n,f,d,n,5.87,6.77,n,t,no_data,d,a
5.49,x,n,f,e,w,12.3,12.52,n,f,f,d,u
8.19,x,l,f,x,w,6.58,17.05,w,f,f,d,u
4.27,c,y,f,no_data,n,6.87,7.79,w,f,f,d,u
10.56,p,n,t,e,p,8.73,17.42,w,t,l,l,a
1.03,b,n,f,no_data,k,3.52,2.37,n,t,f,m,a
2.75,s,y,f,f,f,7.03,7.78,y,f,f,d,a
4.27,o,r,f,f,f,0.0,0.0,f,t,f,d,u
5.37,s,n,t,d,p,5.1,5.51,n,f,f,d,u
5.11,s,n,t,d,p,5.58,5.86,n,f,f,d,u
9.1,x,g,t,x,u,8.28,19.87,n,f,f,d,a
4.14,o,w,f,f,f,5.47,26.73,w,t,f,p,u
6.87,x,e,t,p,r,4.95,11.69,y,f,f,d,u
5.59,s,n,t,d,p,6.2,5.88,n,f,f,d,u
8.99,f,b,f,no_data,b,5.06,20.29,w,t,f,d,a
6.61,x,n,f,x,w,12.27,7.14,n,f,f,d,u
2.8,b,w,f,x,w,4.64,2.7,y,f,f,g,a
3.25,x,y,f,a,o,2.89,9.21,w,f,f,d,u
0.91,f,n,t,a,w,5.06,0.86,n,f,f,d,u
3.12,b,p,f,e,w,3.6,3.42,w,t,e,d,u
12.25,f,n,f,e,w,11.3,15.17,w,t,e,d,a
5.97,f,g,f,s,w,5.28,11.38,g,f,f,d,u
7.8,x,u,t,x,n,8.17,18.84,u,f,f,d,a
1.28,x,y,f,f,f,3.44,5.09,y,f,f,d,a
6.99,c,n,f,e,w,12.06,11.95,n,f,f,d,u
8.34,x,y,f,a,y,10.49,11.09,n,t,no_data,d,u
4.63,x,n,f,a,n,4.41,6.72,o,t,z,d,a
7.75,x,e,t,p,r,5.38,14.0,y,f,f,d,u
16.04,f,w,f,a,k,7.9,25.51,w,f,f,d,u
6.88,x,n,f,x,w,7.45,10.96,n,f,f,l,a
2.95,b,n,f,no_data,u,5.88,4.26,w,f,f,d,u
3.2,s,w,f,d,w,3.63,2.5,w,f,f,g,a
8.84,x,n,t,x,n,10.07,19.86,g,f,f,d,a
2.52,x,o,f,d,o,3.91,6.22,o,f,f,h,a
8.15,x,n,f,a,n,9.39,12.73,n,f,f,d,a
8.22,s,w,f,d,p,3.55,10.17,w,f,f,g,u
0.8,x,n,f,a,n,4.0,0.96,k,f,f,d,s
8.56,x,y,f,x,w,6.4,13.25,w,f,f,d,a
2.01,f,n,f,d,p,6.28,3.35,n,f,f,l,a
8.39,f,e,f,x,w,6.11,17.29,w,f,f,d,u
10.6,f,n,t,no_data,w,9.2,14.5,w,t,g,d,a
4.69,x,r,f,s,n,7.36,9.59,n,t,e,d,u
10.8,x,n,t,d,n,6.6,14.7,n,f,f,h,a
3.76,b,n,f,x,w,4.71,3.55,y,f,f,g,u
9.68,f,e,f,s,y,7.43,22.19,y,f,f,d,a
2.05,b,n,f,a,g,4.53,1.95,g,f,f,d,u
3.92,x,w,f,x,p,8.18,4.75,p,f,f,d,u
3.41,f,u,f,a,n,3.75,3.49,u,f,f,d,a
3.63,x,n,f,p,e,4.49,9.62,y,f,f,d,a
5.45,x,o,f,a,w,6.94,4.91,o,f,f,d,s
0.79,x,p,f,a,p,3.33,0.98,k,f,f,d,u
10.33,x,l,f,x,w,8.02,23.72,w,f,f,d,a
4.51,f,n,f,x,y,4.78,4.77,y,f,f,d,a
3.26,b,r,f,s,g,5.96,7.31,n,t,e,g,u
5.15,x,y,f,s,y,5.74,12.73,y,f,f,d,a
1.07,x,w,f,a,w,2.93,1.3,e,f,f,l,a
12.31,s,n,f,d,y,4.9,28.75,n,f,f,d,u
2.72,b,n,f,x,w,3.96,2.62,y,f,f,g,u
5.63,f,g,f,s,g,5.13,10.77,g,f,f,d,u
6.35,b,g,f,no_data,g,10.15,12.29,w,t,z,d,s
7.57,s,y,t,d,o,4.59,12.14,w,t,f,d,a
9.59,x,r,f,no_data,w,11.45,17.82,w,t,p,d,u
6.31,s,n,f,d,w,5.39,8.24,w,f,f,l,u
10.86,f,b,f,no_data,b,4.88,19.49,w,t,f,d,a
13.92,x,r,f,x,n,8.75,24.9,w,f,f,d,w
11.38,x,n,f,p,w,9.87,28.36,n,f,f,d,a
9.91,x,u,t,x,u,9.8,19.13,u,f,f,d,a
5.92,x,n,t,s,w,6.07,16.38,n,f,f,d,u
5.11,f,n,f,x,w,6.67,8.8,n,f,f,l,w
2.29,f,k,f,a,p,4.95,2.74,w,f,f,g,a
10.49,o,e,f,f,f,3.38,27.45,n,f,f,d,u
1.37,x,y,f,d,w,5.84,1.84,y,f,f,h,u
8.77,f,g,f,d,y,2.5,13.94,w,f,f,d,w
2.95,b,g,f,a,n,9.25,2.59,n,f,f,g,u
0.66,x,y,f,no_data,y,3.31,0.57,w,f,f,d,u
9.36,f,r,f,x,n,7.15,13.27,w,f,f,d,a
7.38,f,r,f,x,n,6.71,12.56,w,f,f,d,u
8.53,x,n,f,a,n,9.21,13.08,n,f,f,d,a
5.63,f,g,f,d,w,6.07,10.0,n,f,f,d,a
5.17,c,y,f,no_data,n,6.98,7.95,w,f,f,d,a
9.05,x,g,t,x,n,9.16,19.88,g,f,f,d,a
1.79,b,g,f,a,g,4.79,1.88,n,f,f,d,u
6.95,b,w,f,e,w,11.11,10.91,w,t,l,d,u
4.74,x,w,f,x,w,7.92,8.32,w,t,no_data,g,u
1.66,c,n,f,no_data,n,8.15,3.12,y,f,f,g,a
4.34,b,g,f,a,g,3.99,2.66,n,f,f,d,a
6.71,x,w,f,e,w,6.68,13.91,y,t,g,d,a
7.21,f,p,f,s,p,4.25,10.29,p,f,f,d,w
2.89,c,w,f,a,n,3.8,3.55,w,f,f,p,a
5.59,x,w,f,e,w,5.17,11.91,y,t,g,d,u
8.63,x,n,f,e,p,6.92,10.43,w,f,f,d,w
6.57,f,r,f,x,y,6.32,10.37,w,f,f,d,a
1.73,f,g,f,no_data,g,5.47,2.66,w,f,f,d,s
10.36,f,b,f,no_data,b,4.96,20.4,w,t,f,d,a
7.94,p,g,f,a,w,7.68,13.2,w,f,f,d,a
1.85,b,n,f,a,n,5.59,1.68,n,f,f,g,u
6.31,f,n,f,d,y,5.27,9.75,n,f,f,l,w
9.87,f,n,f,x,w,9.84,11.55,w,f,f,d,u
6.89,o,n,f,no_data,w,4.56,21.5,n,f,f,d,u
5.08,s,n,f,p,n,3.75,6.97,n,t,f,d,u
3.89,s,u,t,d,p,4.89,6.09,g,f,f,d,u
4.27,b,w,f,x,w,5.26,3.18,y,f,f,g,u
9.95,x,y,f,a,o,12.19,23.34,o,t,r,d,u
3.1,x,e,f,no_data,e,4.55,4.87,e,f,f,d,a
7.24,x,n,f,x,w,9.36,10.82,w,f,f,h,u
10.08,x,y,f,no_data,w,8.69,26.42,n,t,e,d,a
7.9,s,r,t,d,g,4.64,12.94,r,f,f,d,u
4.56,f,n,f,e,n,4.08,11.97,w,t,l,w,u
7.38,f,y,f,x,y,6.83,10.66,w,f,f,d,u
4.06,x,p,f,no_data,w,3.29,11.51,y,f,f,d,a
3.83,x,o,f,a,n,4.95,5.55,o,t,z,d,a
3.85,f,n,f,x,p,5.93,4.31,n,f,f,g,a
0.84,x,p,f,a,n,4.24,1.12,k,f,f,d,w
2.87,s,u,f,a,u,4.27,4.55,u,f,f,l,a
9.62,p,n,t,e,p,8.51,16.65,w,t,l,l,a
6.57,f,n,f,s,w,5.7,8.92,w,f,f,g,a
13.33,p,n,t,e,g,8.14,16.12,w,t,r,m,a
4.49,f,y,f,x,g,6.36,3.98,w,f,f,d,a
5.22,s,y,f,p,n,3.33,4.42,n,t,f,d,u
1.26,x,n,f,no_data,n,3.15,1.28,n,f,f,d,s
5.8,x,n,f,x,w,6.78,9.45,n,f,f,l,w
0.96,b,y,f,no_data,k,3.5,2.26,n,t,f,g,a
5.74,c,y,f,no_data,n,6.57,7.95,w,f,f,d,u
4.57,b,n,f,no_data,n,10.8,7.09,w,t,no_data,g,a
3.18,x,e,f,a,e,4.22,6.11,o,f,f,m,w
4.89,x,n,f,a,n,5.06,3.62,g,t,l,d,w
6.04,f,n,f,s,w,5.21,9.53,w,f,f,m,u
14.2,x,w,f,s,y,8.42,17.72,n,f,f,d,u
1.97,x,b,f,no_data,w,4.76,4.1,w,f,f,d,u
1.45,x,y,f,d,w,6.4,1.76,y,f,f,h,a
5.09,s,y,f,f,f,3.07,10.91,y,f,f,d,a
12.88,f,g,f,d,w,2.62,16.94,w,f,f,d,a
1.5,x,y,f,d,w,6.35,2.46,y,f,f,h,a
5.52,b,k,f,e,g,7.29,8.2,y,f,f,g,a
2.53,f,r,f,a,r,4.9,5.37,r,f,f,d,a
8.64,f,n,f,e,n,5.53,13.93,w,t,l,w,u
3.88,b,n,f,no_data,g,5.37,4.53,w,f,f,d,u
5.35,x,o,f,e,g,6.72,7.16,y,f,f,m,a
10.19,x,l,f,x,w,8.64,24.08,w,f,f,d,u
7.69,x,n,t,p,y,7.45,16.42,y,f,f,d,a
11.24,s,w,t,d,y,5.71,26.18,w,f,f,d,a
4.2,b,w,f,e,w,5.59,3.86,w,t,e,d,a
7.36,x,w,f,e,w,6.3,12.94,y,t,g,d,a
8.23,x,w,t,no_data,n,8.97,15.53,w,t,l,d,a
4.02,f,n,f,a,w,4.92,5.03,o,f,f,d,w
6.32,x,u,t,x,u,8.54,19.63,g,f,f,d,a
6.41,s,e,t,d,b,6.37,5.89,e,f,f,d,a
9.91,x,n,t,e,p,8.82,17.57,w,t,p,l,a
3.96,f,n,f,d,o,5.98,7.11,o,f,f,d,a
0.69,f,o,f,d,o,4.3,0.94,y,f,f,g,a
10.0,x,o,f,a,o,10.84,24.09,y,t,r,d,a
14.34,f,n,f,d,y,5.39,29.41,k,f,f,d,u
6.45,x,y,f,x,y,3.46,12.94,y,f,f,d,a
7.9,o,n,f,no_data,y,1.52,14.04,n,f,f,d,w
2.38,s,n,f,a,p,8.07,3.55,n,f,f,l,u
2.72,b,n,f,no_data,n,6.67,2.9,w,f,f,d,u
9.3,f,e,f,no_data,w,6.21,25.42,n,t,e,d,a
12.07,x,n,t,p,o,8.34,27.51,y,f,f,d,a
3.83,s,u,f,a,w,4.87,7.87,w,f,f,d,u
1.44,o,n,f,no_data,n,3.19,1.38,n,f,f,d,u
6.19,x,e,f,a,g,7.87,9.56,y,t,z,d,a
7.44,x,y,f,p,y,6.59,14.21,y,t,no_data,d,u
10.03,x,y,t,p,e,8.87,24.69,e,f,f,d,a
3.24,b,n,f,x,w,4.88,3.1,y,f,f,g,a
14.42,x,k,t,d,n,4.85,25.02,n,f,f,l,u
4.28,b,n,f,x,p,6.1,4.33,n,f,f,m,u
6.6,f,p,f,x,w,7.28,18.29,w,f,f,d,a
2.01,b,g,f,a,g,4.53,1.85,n,f,f,d,a
9.73,f,l,f,s,b,6.58,18.64,b,f,f,d,a
6.66,x,n,f,e,w,4.95,9.68,n,f,f,d,a
5.63,x,w,f,d,p,3.74,8.53,w,f,f,g,u
10.5,o,n,f,no_data,y,1.92,17.09,n,f,f,d,a
4.4,f,p,f,x,w,5.67,6.7,w,f,f,d,u
6.44,x,n,f,e,w,5.71,10.21,n,f,f,d,a
7.37,x,n,t,p,y,10.15,18.37,y,f,f,d,a
4.01,b,n,f,no_data,w,7.49,4.59,w,f,f,d,a
1.7,c,n,f,a,g,5.45,1.71,g,f,f,d,a
4.6,f,n,f,x,e,5.39,4.56,y,f,f,d,u
6.68,f,y,f,x,n,6.81,10.37,w,f,f,d,a
4.68,s,n,t,d,b,5.97,6.48,e,f,f,d,u
7.75,f,e,f,x,w,6.98,16.95,w,f,f,d,u
